duplicated_lines_density,functions,security_remediation_effort,sqale_rating,duplicated_files,line_coverage,violations,critical_violations,info_violations,uncovered_lines,complexity,minor_violations,duplicated_lines,security_hotspots_reviewed,sqale_index,bugs,ncloc,reliability_remediation_effort,false_positive_issues,reopened_issues,reliability_rating,sqale_debt_ratio,comment_lines_density,security_hotspots,security_review_rating,cognitive_complexity,duplicated_blocks,open_issues,blocker_violations,major_violations,development_cost,security_rating,effort_to_reach_maintainability_rating_a,comment_lines,confirmed_issues,files,wont_fix_issues,classes,statements,lines_to_cover,security_hotspots_reviewed_status,lines,coverage,code_smells,security_hotspots_to_review_status,vulnerabilities,file_complexity,HIGH_reliability_issues,MEDIUM_reliability_issues,LOW_reliability_issues,HIGH_maintainability_issues,MEDIUM_maintainability_issues,LOW_maintainability_issues,HIGH_security_issues,MEDIUM_security_issues,LOW_security_issues,GitHub Repo
2.7,76,0,1.0,2,0.0,26,11,0,1361,323,5,73,0.0,201,0,1780,0,0,0,1.0,0.4,20.3,1,5.0,447,4,26,0,10,53400,1.0,0,453,0,14,0,16,1389,1361,0,2685,0.0,26,1,0,23.1,0,2,0,11,10,5,0,0,2,https://github.com/adobe/antialiased-cnns.git
9.6,326,0,1.0,9,0.0,115,14,1,4233,758,76,766,0.0,524,4,5228,25,0,0,3.0,0.3,22.6,8,5.0,743,30,115,0,24,156840,1.0,0,1524,0,58,0,73,4326,4233,0,7962,0.0,111,8,0,13.1,0,4,0,14,20,77,0,0,0,https://github.com/aiqm/torchani.git
72.6,623,0,1.0,87,0.0,39,11,0,5332,1360,1,7711,100.0,218,0,6980,0,0,0,1.0,0.1,19.8,0,1.0,1113,289,39,0,27,209400,1.0,0,1725,0,120,0,128,5711,5332,0,10614,0.0,39,0,0,11.3,0,0,0,11,27,1,0,0,0,https://github.com/aisolab/nlp_classification.git
3.5,1425,0,1.0,9,0.0,289,14,0,9459,2569,11,886,0.0,1531,7,17395,39,0,0,3.0,0.3,19.2,84,5.0,1574,75,289,0,264,521850,1.0,0,4124,0,66,0,239,9694,9459,0,25205,0.0,282,84,0,38.9,2,232,0,16,255,11,0,0,225,https://github.com/albumentations-team/albumentations.git
40.9,12679,65,1.0,56,0.0,2419,1200,37,86483,27696,521,86378,0.0,24597,19,149577,137,0,0,5.0,0.5,18.7,47,5.0,22606,2782,2419,23,638,4487310,4.0,0,34441,0,357,0,1788,89084,86483,0,210950,0.0,2397,47,3,78.2,31,37,0,1217,623,555,3,0,21,https://github.com/allegroai/trains.git
2.9,3733,0,1.0,54,0.0,704,232,33,36011,7947,94,2637,0.0,4253,191,57781,930,0,0,5.0,0.2,26.1,61,5.0,6781,156,704,4,341,1733430,1.0,0,20355,0,602,0,909,37169,36011,0,90491,0.0,513,61,0,13.2,17,215,0,222,168,123,0,0,38,https://github.com/allenai/allennlp.git
4.2,49,0,1.0,2,0.0,40,6,1,906,229,13,79,0.0,266,0,1236,0,0,0,1.0,0.7,23.6,1,5.0,377,4,40,0,20,37080,1.0,0,381,0,23,0,7,932,906,0,1899,0.0,40,1,0,10.0,0,4,0,6,20,14,0,0,4,https://github.com/allenai/scibert.git
4.2,362,30,1.0,2,0.0,121,16,4,2886,769,41,256,0.0,706,6,4760,22,0,0,5.0,0.5,6.9,19,5.0,579,2,121,9,51,142800,3.0,0,355,0,33,0,63,2945,2886,0,6135,0.0,114,19,1,23.3,6,4,1,23,47,44,0,1,3,https://github.com/alvinwan/neural-backed-decision-trees.git
5.0,487,0,1.0,12,0.0,155,54,7,6106,1589,24,652,0.0,1331,3,9040,13,0,0,5.0,0.5,18.3,10,5.0,1987,27,155,4,66,271200,1.0,0,2022,0,43,0,64,6366,6106,0,13090,0.0,152,10,0,37.0,9,7,0,57,64,31,0,0,5,https://github.com/amansrivastava17/embedding-as-service.git
2.3,725,0,1.0,12,0.0,369,19,8,7003,1436,284,362,0.0,1084,21,8851,167,0,0,5.0,0.4,30.6,11,5.0,1130,21,369,11,47,265530,1.0,0,3898,0,111,0,118,7293,7003,0,15699,0.0,348,11,0,12.9,11,14,4,19,48,281,0,0,8,https://github.com/amzn/xfer.git
