GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Python_Percentage,A1_Elements,A2_Elements,B1_Elements,B2_Elements,C1_Elements,C2_Elements,Assign Multi Targets,Call Star,List Comprehension,Dict Comprehension,Set Comprehension,Truth Value Test,Chain Compare,For Multi Targets,For Else,PY_Assign Multi Targets,PY_Call Star,PY_List Comprehension,PY_Dict Comprehension,PY_Set Comprehension,PY_Truth Value Test,PY_Chain Compare,PY_For Multi Targets,PY_For Else
https://github.com/adobe/antialiased-cnns.git,N,1120,115,1785,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/adobe/antialiased-cnns/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,Do reply to issues last time but not recently,https://github.com/adobe/antialiased-cnns/blob/master/LICENSE.md is provided.,There is no evidence of any testing done on the project.,100.0,1133,1376,118,8,4,36,52,0,1,0,0,8,0,0,0,0,8,2,0,0,97,0,20,0
https://github.com/AFAgarap/cnn-svm.git,N,145,111,557,The source code of the project exists as ad-hoc scripts.,There are no contributors to the project other than the author.,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,Issues all raised by author and he do answered others' questions,https://github.com/AFAgarap/cnn-svm/blob/master/LICENSE is provided.,there is no evidence of any testing done on the project.,98.53184870773612,56,50,31,3,3,5,44,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,4,0
https://github.com/aiqm/torchani.git,Y,153,358,4738,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/aiqm/torchani/graphs/contributors shows that there are multiple contributors,The project uses CI but not sure what is it,Most of the functions in the source code are not documented.,Evidence of sustained commit activity but not stable,"The project maintainers respond to issues, as evidenced by https://github.com/XanaduAI/pennylane/issues/661 and https://github.com/XanaduAI/pennylane/issues/533",https://github.com/aiqm/torchani/blob/master/LICENSE is provided.,There are many files related to testing,80.65705442741753,3631,5506,328,51,88,40,267,0,3,2,0,9,8,0,1,0,13,34,6,0,123,0,37,0
https://github.com/aisolab/nlp_classification.git,N,176,383,5626,Organized into projects where each project source code have been organised into different modules in a way that shows the relationship between different files.,https://github.com/aisolab/nlp_classification/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,"Only 2 issues, 1 open, 1 closed",https://github.com/aisolab/nlp_classification/blob/master/LICENSE is provided.,1 test file for each project,100.0,4111,5229,572,82,104,97,369,0,8,0,0,30,32,0,4,0,11,46,22,0,288,0,30,21
https://github.com/albumentations-team/albumentations.git,Y,5406,573,9200,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/albumentations-team/albumentations/graphs/contributors?from=2019-04-22&to=2020-03-12&type=c shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,commit activity decreasing,"The project maintainers respond to issues, as evidenced by https://github.com/albumentations-team/albumentations/issues/644 and https://github.com/albumentations-team/albumentations/issues/653 however there are s lot open issues",https://github.com/albumentations-team/albumentations/blob/master/LICENSE is provided.,There are many files related to testing,99.84934633900131,10327,10174,1254,507,112,139,583,50,2,4,0,62,29,0,0,1,53,76,14,3,351,39,52,0
https://github.com/allegroai/trains.git,Y,1347,640,115412,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/allegroai/trains/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/allegroai/trains/issues/154 and https://github.com/allegroai/trains/issues/138",https://github.com/allegroai/trains/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,100.0,0,0,0,0,0,0,2331,5,26,7,0,74,57,6,3,32,275,582,151,7,5072,4,250,2
https://github.com/allenai/allennlp.git,Y,8655,2156,40659,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/allenai/allennlp/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/XanaduAI/pennylane/issues/661 and https://github.com/allenai/allennlp/issues/4437",https://github.com/allenai/allennlp/blob/master/LICENSE is provided.,There are many files related to testing,98.42757997143306,0,0,0,0,0,0,2367,4,22,24,1,189,45,2,3,4,114,611,110,14,1289,26,373,8
https://github.com/allenai/scibert.git,N,651,253,1237,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/allenai/scibert/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Most of the functions in the source code are not documented.,Evidence of sustained commit activity,Do reply to issues last time but not recently,https://github.com/allenai/scibert/blob/master/LICENSE.txt is provided.,There are files related to testing,95.76150241857056,695,837,76,15,29,17,42,0,0,0,0,2,0,0,0,0,1,24,3,0,42,0,34,0
https://github.com/alvinwan/neural-backed-decision-trees.git,Y,280,702,3383,The source code of the project exists as ad-hoc scripts.,https://github.com/alvinwan/neural-backed-decision-trees/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,The maintainers of the project does not reply to issues or close them.,https://github.com/alvinwan/neural-backed-decision-trees/blob/master/LICENSE is provided.,There are files related to testing,84.4062913613043,2280,2462,286,57,59,92,148,1,1,1,1,8,4,0,0,11,35,45,8,1,134,1,19,0
https://github.com/amansrivastava17/embedding-as-service.git,N,116,373,9037,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/amansrivastava17/embedding-as-service/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Most of the functions in the source code are not documented.,Evidence of sustained commit activity,Do reply to issues last time but not recently,https://github.com/amansrivastava17/embedding-as-service/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,99.87258655469104,0,0,0,0,0,0,379,1,8,6,0,33,34,1,1,2,12,83,15,0,416,3,47,0
